Date,Open,High,Low,Close,Adj Close,Volume
2009-09-08,4.080000,4.090000,4.000000,4.030000,3.647865,8900
2009-09-09,4.070000,4.070000,3.990000,4.030000,3.647865,28500
2009-09-10,4.040000,4.040000,4.000000,4.000000,3.620709,10000
2009-09-11,4.020000,4.030000,3.980000,4.000000,3.620709,17400
2009-09-14,3.990000,4.020000,3.910000,3.940000,3.566399,23700
2009-09-15,3.830000,4.040000,3.830000,4.030000,3.647865,21600
2009-09-16,4.080000,4.080000,3.960000,3.980000,3.602606,25400
2009-09-17,3.950000,4.040000,3.920000,4.040000,3.656916,18800
2009-09-18,4.050000,4.180000,3.920000,3.920000,3.548295,59700
2009-09-21,4.030000,4.030000,3.960000,3.980000,3.602606,14100
2009-09-22,3.960000,4.090000,3.910000,4.060000,3.675019,11100
2009-09-23,4.100000,4.150000,4.000000,4.000000,3.620709,21300
2009-09-24,4.000000,4.120000,3.930000,3.940000,3.566399,14800
2009-09-25,3.950000,4.010000,3.920000,3.950000,3.575450,13100
2009-09-28,3.920000,4.030000,3.920000,3.980000,3.602606,9500
2009-09-29,3.970000,3.970000,3.910000,3.950000,3.575450,32400
2009-09-30,3.940000,3.960000,3.900000,3.900000,3.530191,24300
2009-10-01,3.900000,3.990000,3.870000,3.870000,3.503036,36800
2009-10-02,3.870000,3.920000,3.700000,3.850000,3.484932,30300
2009-10-05,3.860000,3.900000,3.760000,3.860000,3.493984,9100
2009-10-06,3.790000,4.000000,3.790000,3.980000,3.602606,33800
2009-10-07,4.000000,4.070000,3.970000,3.990000,3.611657,16600
2009-10-08,4.030000,4.140000,3.970000,3.990000,3.611657,34900
2009-10-09,3.940000,4.090000,3.940000,4.000000,3.620709,12600
2009-10-12,4.050000,4.110000,3.950000,4.060000,3.675019,22700
2009-10-13,4.040000,4.090000,4.000000,4.030000,3.647865,9800
2009-10-14,4.040000,4.090000,3.990000,4.010000,3.629761,12300
2009-10-15,4.060000,4.120000,3.980000,4.060000,3.675019,27100
2009-10-16,4.090000,4.490000,4.080000,4.300000,3.892262,49900
2009-10-19,4.200000,4.460000,4.200000,4.370000,3.955625,32600
2009-10-20,4.340000,4.490000,4.340000,4.470000,4.046141,11000
2009-10-21,4.470000,4.590000,4.250000,4.250000,3.847004,21500
2009-10-22,4.290000,4.440000,4.290000,4.430000,4.009935,16500
2009-10-23,4.340000,4.450000,4.340000,4.420000,4.000884,7000
2009-10-26,4.410000,4.480000,4.260000,4.460000,4.037090,31900
2009-10-27,4.410000,4.520000,4.410000,4.460000,4.037090,14700
2009-10-28,4.350000,4.530000,4.350000,4.420000,4.000884,2600
2009-10-29,4.550000,4.550000,3.950000,4.010000,3.629761,95300
2009-10-30,4.040000,4.190000,3.750000,3.800000,3.439674,47200
2009-11-02,3.050000,3.800000,3.050000,3.800000,3.439674,50700
2009-11-03,3.850000,3.970000,3.850000,3.950000,3.575450,22400
2009-11-04,4.060000,4.250000,4.030000,4.080000,3.693122,58200
2009-11-05,4.160000,4.450000,4.100000,4.450000,4.028039,64200
2009-11-06,4.360000,4.380000,4.140000,4.210000,3.810796,45900
2009-11-09,4.160000,4.440000,4.160000,4.340000,3.928469,27300
2009-11-10,4.290000,4.380000,4.120000,4.120000,3.729330,19800
2009-11-11,4.180000,4.240000,4.180000,4.200000,3.801744,7100
2009-11-12,4.250000,4.300000,4.180000,4.300000,3.892262,10500
2009-11-13,4.250000,4.250000,4.120000,4.120000,3.729330,41700
2009-11-16,4.130000,4.160000,3.710000,3.900000,3.530191,66800
2009-11-17,3.930000,4.060000,3.900000,3.990000,3.611657,19700
2009-11-18,4.030000,4.090000,3.980000,4.020000,3.638812,11900
2009-11-19,3.950000,4.000000,3.870000,3.930000,3.557347,13600
2009-11-20,3.950000,3.950000,3.790000,3.910000,3.539243,19200
2009-11-23,3.890000,4.000000,3.750000,3.750000,3.394414,10100
2009-11-24,3.800000,3.870000,3.800000,3.820000,3.457778,16200
2009-11-25,3.760000,4.040000,3.760000,3.990000,3.611657,12400
2009-11-27,3.780000,3.970000,3.780000,3.930000,3.557347,8900
2009-11-30,3.960000,3.990000,3.850000,3.990000,3.611657,15900
2009-12-01,3.950000,4.100000,3.890000,4.020000,3.638812,27200
2009-12-02,4.020000,4.060000,3.930000,3.930000,3.557347,15600
2009-12-03,3.940000,4.100000,3.940000,3.940000,3.566399,43900
2009-12-04,3.900000,4.050000,3.900000,3.970000,3.593554,14100
2009-12-07,3.930000,4.110000,3.930000,3.990000,3.611657,19400
2009-12-08,3.870000,4.040000,3.850000,3.940000,3.566399,20800
2009-12-09,3.910000,3.940000,3.820000,3.850000,3.484932,59300
2009-12-10,3.890000,3.940000,3.800000,3.800000,3.439674,23700
2009-12-11,3.820000,3.940000,3.460000,3.710000,3.358208,105900
2009-12-14,3.720000,3.760000,3.560000,3.560000,3.222431,60800
2009-12-15,3.540000,3.750000,3.540000,3.660000,3.312949,32200
2009-12-16,3.700000,3.900000,3.700000,3.890000,3.521140,33100
2009-12-17,3.940000,3.980000,3.870000,3.900000,3.530191,18800
2009-12-18,3.920000,4.090000,3.860000,4.080000,3.693122,26400
2009-12-21,4.020000,4.070000,3.890000,3.890000,3.521140,24000
2009-12-22,3.890000,3.980000,3.890000,3.900000,3.530191,9000
2009-12-23,3.940000,3.980000,3.900000,3.910000,3.539243,14300
2009-12-24,3.900000,3.910000,3.760000,3.870000,3.503036,6300
2009-12-28,3.930000,3.930000,3.890000,3.930000,3.557347,10300
2009-12-29,3.930000,3.970000,3.890000,3.940000,3.566399,12400
2009-12-30,3.930000,3.960000,3.900000,3.910000,3.539243,5600
2009-12-31,3.940000,3.940000,3.900000,3.930000,3.557347,6700
2010-01-04,3.890000,3.990000,3.890000,3.960000,3.584502,12100
2010-01-05,3.900000,4.060000,3.880000,3.940000,3.566399,41600
2010-01-06,3.890000,3.920000,3.820000,3.920000,3.548295,11500
2010-01-07,3.960000,4.040000,3.930000,4.040000,3.656916,33700
2010-01-08,4.090000,4.120000,3.980000,3.980000,3.602606,13200
2010-01-11,3.970000,3.990000,3.930000,3.930000,3.557347,9200
2010-01-12,3.930000,3.930000,3.820000,3.850000,3.484932,18100
2010-01-13,3.880000,3.950000,3.850000,3.880000,3.512088,44100
2010-01-14,3.870000,3.950000,3.840000,3.950000,3.575450,19000
2010-01-15,3.930000,3.950000,3.880000,3.950000,3.575450,8100
2010-01-19,3.890000,3.990000,3.890000,3.910000,3.539243,16300
2010-01-20,3.940000,3.940000,3.900000,3.900000,3.530191,5000
2010-01-21,3.930000,3.950000,3.740000,3.800000,3.439674,41900
2010-01-22,3.810000,3.900000,3.700000,3.880000,3.512088,10400
2010-01-25,3.840000,3.870000,3.800000,3.830000,3.466829,48200
2010-01-26,3.780000,3.870000,3.780000,3.850000,3.484932,6900
2010-01-27,3.850000,3.880000,3.850000,3.850000,3.484932,5800
2010-01-28,3.800000,3.950000,3.800000,3.950000,3.575450,7500
2010-01-29,3.900000,3.950000,3.830000,3.850000,3.484932,9700
2010-02-01,3.860000,3.880000,3.780000,3.850000,3.484932,2300
2010-02-02,3.850000,3.880000,3.790000,3.850000,3.484932,8200
2010-02-03,3.840000,3.910000,3.840000,3.850000,3.484932,4100
2010-02-04,3.810000,3.900000,3.770000,3.780000,3.421570,27800
2010-02-05,3.750000,3.810000,3.750000,3.800000,3.439674,11500
2010-02-08,3.780000,3.810000,3.750000,3.800000,3.439674,5300
2010-02-09,3.750000,3.830000,3.560000,3.790000,3.430622,8900
